what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1436237327793
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1436237327795
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1436237327795
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1436237327796
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1436237327797
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1436237327798
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1436237327852
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1436237327853
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1436237327853
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1436237327854
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1436237327909
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1436237327909
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1436237327910
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1436237327911
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1436237327911
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1436237327939
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1436237327940
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1436237327941
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1436237327941
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1436237327942
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1436237327942
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1436237327943
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1436237327944
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1436237327945
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1436237327946
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1436237327947
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1436237327947
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1436237327948
os,sysinfo,,,"win32",1436237327950
arch,sysinfo,,,"x86_64",1436237327950
ws,sysinfo,,,"win32",1436237327950
locale,sysinfo,,,"en_IN",1436237327950
processors,sysinfo,,,"4",1436237327950
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436237327950
java.runtime.version,sysinfo,,,"1.8.0_20-b26",1436237327950
java.specification.name,sysinfo,,,"Java Platform API Specification",1436237327950
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436237327950
java.specification.version,sysinfo,,,"1.8",1436237327950
java.vendor,sysinfo,,,"Oracle Corporation",1436237327950
java.version,sysinfo,,,"1.8.0_20",1436237327950
java.vm.info,sysinfo,,,"mixed mode",1436237327950
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1436237327950
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436237327950
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436237327950
java.vm.specification.version,sysinfo,,,"1.8",1436237327950
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436237327950
java.vm.version,sysinfo,,,"25.20-b23",1436237327950
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1436237327973
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1436237328282
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1436237328339
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1436237329103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436237329690
